source	target
ARHGAP22	77645
ARHGAP22	77646
ARHGAP22	77647
ARHGAP22	77648
ARHGAP22	77650
ARHGAP22	77651
ARHGAP22	77652
ARHGAP22	77653
ARHGAP22	77654
ARHGAP22	77655
ARHGAP22	77656
ARHGAP22	77657
ARHGAP22	77658
ARHGAP22	77659
ARHGAP22	77660
ARHGAP22	77661
ARHGAP22	77662
ARHGAP22	77663
ARHGAP22	77664
ARHGAP22	77665
ARHGAP22	77666
ARHGAP22	77667
ARHGAP22	77668
ARHGAP22	77669
ARHGAP22	77670
ARHGAP22	77671
ARHGAP22	77672
ARHGAP22	77674
ARHGAP22	77675
ARHGAP22	77677
ARHGAP22	77679
ARHGAP22	77680
ARHGAP22	77681
ARHGAP22	77683
ARHGAP22	77684
ARHGAP22	77685
ARHGAP22	77686
ARHGAP22	77687
ARHGAP22	77688
ARHGAP22	77689
ARHGAP22	77690
ARHGAP22	77691
ARHGAP22	77692
ARHGAP22	77694
ARHGAP22	77695
ARHGAP22	LRRC18
ARHGAP22	RP11-523O18.7
LRRC18	RP11-523O18.7
ARHGAP22	77697
ARHGAP22	77698
ARHGAP22	77702
ARHGAP22	77703
ARHGAP22	77704
ARHGAP22	77705
ARHGAP22	WDFY4
ARHGAP22	77707
ARHGAP22	RP11-523O18.1
ARHGAP22	77709
ARHGAP22	77710
ARHGAP22	77730
ARHGAP22	77748
ARHGAP22	77751
ARHGAP22	77754
ARHGAP22	77756
ARHGAP22	77758
ARHGAP22	77759
ARHGAP22	77760
ARHGAP22	77761
ARHGAP22	77762
ARHGAP22	77763
ARHGAP22	77764
ARHGAP22	77769
ARHGAP22	77805
ARHGAP22	77813
ARHGAP22	77818
ARHGAP22	77819
ARHGAP22	77820
ARHGAP22	77824
ARHGAP22	77825
ARHGAP22	77829
ARHGAP22	77832
ARHGAP22	77840
ARHGAP22	77841
