"","A","B"
"211067","MAR00765","PIGM"
"221037","MAR00765","OGT"
"23580","MAR00765","GBGT1"
"24174","MAR00765","B3GNT7"
"25171","MAR00765","B4GALT5"
"26161","MAR00765","B4GALT3"
"27160","MAR00765","B3GALT2"
"28156","MAR00765","B3GALNT2"
"29156","MAR00765","POGLUT1"
"3034","MAR00765","STT3B"
"31815","MAR00765","B4GALNT2"
"32104","MAR00765","MGAT5B"
"33104","MAR00765","B3GNT2"
"34102","MAR00765","B3GALT1"
"35102","MAR00765","FUT9"
"36102","MAR00765","FUT10"
"37102","MAR00765","B3GNTL1"
"38102","MAR00765","B3GNT4"
"39102","MAR00765","B3GNT5"
"404","MAR00765","B3GNT8"
"41170","MAR00765","B3GNT3"
"42102","MAR00765","FUT7"
"43102","MAR00765","B4GALNT4"
"44102","MAR00765","B3GALT5"
"45102","MAR00765","B3GLCT"
"46102","MAR00765","ALG1L"
"47100","MAR00765","FUT4"
"48100","MAR00765","FUT11"
"49100","MAR00765","B3GNT6"
"504","MAR00765","GLT6D1"
"51102","MAR00765","MGAT4D"
"52102","MAR00765","B3GNT9"
"53102","MAR00765","ALG1L2"
"23581","MAR00766","LCT"
"31816","MAR00766","GLB1L"
"41171","MAR00766","GLB1"
"23582","MAR00767","PLPP1"
"31817","MAR00767","LPIN2"
"41172","MAR00767","PLPPR2"
"5873","MAR00767","PLPPR4"
"6734","MAR00767","PLPPR3"
"7571","MAR00767","LPIN3"
"8455","MAR00767","LPIN1"
"9408","MAR00767","PLPP2"
"10377","MAR00767","PLPP5"
"11220","MAR00767","PLPP3"
"12216","MAR00767","PLPP4"
"23583","MAR00773","SPHK2"
"31818","MAR00773","DBP"
"41173","MAR00773","SPHK1"
"23584","MAR00775","PLPP1"
"31819","MAR00775","LPIN2"
"41174","MAR00775","LPIN3"
"5874","MAR00775","LPIN1"
"6735","MAR00775","PLPP2"
"7572","MAR00775","PLPP3"
"23585","MAR00779","SGPL1"
"23587","MAR00783","PLPP1"
"31820","MAR00783","PLPP2"
"41175","MAR00783","PLPP3"
"23588","MAR00795","SMPD3"
"31821","MAR00795","SMPD2"
"41176","MAR00795","SMPD4"
"5875","MAR00795","SMPD1"
"6736","MAR00795","ENPP7"
"23589","MAR08147","B3GNT3"
"23590","MAR08148","A4GALT"
"23591","MAR08149","B3GALNT1"
"23592","MAR08150","B3GALT5"
"23593","MAR08151","B3GNT3"
"23594","MAR08152","B3GNT3"
"23595","MAR08155","ST3GAL1"
"31822","MAR08155","ST3GAL4"
"41177","MAR08155","ST3GAL2"
"23596","MAR08156","ST6GALNAC2"
"23597","MAR08159","ST6GALNAC2"
"23598","MAR08162","ST8SIA1"
"23599","MAR08165","B4GALNT1"
"23600","MAR08166","B3GALT4"
"23601","MAR08167","ST3GAL1"
"31823","MAR08167","ST3GAL4"
"41178","MAR08167","ST3GAL2"
"23602","MAR08168","ST6GALNAC5"
"31824","MAR08168","ST6GALNAC4"
"41179","MAR08168","ST6GALNAC6"
"5876","MAR08168","ST6GALNAC3"
"23603","MAR08169","ST6GALNAC2"
"23604","MAR08170","ST6GALNAC2"
"23605","MAR08171","ST8SIA5"
"23606","MAR08172","ST6GALNAC2"
"23607","MAR08173","B3GNT3"
"23608","MAR08174","ST6GALNAC2"
"23609","MAR08175","ST6GALNAC6"
"23610","MAR08176","ST6GALNAC2"
"23611","MAR08177","ST8SIA5"
"23612","MAR08178","ST6GALNAC6"
"23613","MAR08179","ST8SIA1"
"23614","MAR08180","ST8SIA5"
"23615","MAR08181","ST8SIA5"
"23616","MAR08182","ST8SIA5"
"23617","MAR08183","ST8SIA5"
"23618","MAR08184","ST3GAL5"
"23619","MAR08185","B3GALT4"
"23620","MAR08186","B3GALT4"
"23621","MAR08187","B3GALT4"
"23622","MAR08188","ST3GAL1"
"31825","MAR08188","ST3GAL4"
"41180","MAR08188","ST3GAL2"
"23623","MAR08189","ST3GAL1"
"31826","MAR08189","ST3GAL4"
"41181","MAR08189","ST3GAL2"
"23624","MAR08190","B4GALNT1"
"23625","MAR08191","B4GALNT1"
"23626","MAR08192","B4GALNT1"
"23627","MAR08194","B3GNT3"
"23629","MAR08198","GBGT1"
"23630","MAR08201","NAGA"
"23632","MAR08206","GAL3ST1"
"23633","MAR08209","ARSA"
"23634","MAR08210","GALC"
"23635","MAR08211","ASAH1"
"23636","MAR08212","GAL3ST1"
"23637","MAR08217","GLA"
"23638","MAR08219","DEGS1"
"31827","MAR08219","DEGS2"
"23639","MAR08220","DEGS1"
"31828","MAR08220","DEGS2"
"23640","MAR08221","FUT1"
"31829","MAR08221","FUT2"
"23641","MAR08224","SLC33A1"
"23642","MAR08226","SLC33A1"
"23643","MAR08227","SLC33A1"
"23644","MAR08228","SLC33A1"
"23645","MAR08233","SGPP1"
"23646","MAR08235","SGPP1"
"23647","MAR08237","SGPL1"
"23648","MAR08238","SGPL1"
"23649","MAR08242","SMPD3"
"23651","MAR08246","SMPD3"
"31830","MAR08246","SMPD2"
"41182","MAR08246","SMPD4"
"5877","MAR08246","SMPD1"
"6737","MAR08246","ENPP7"
"23652","MAR08248","UGCG"
"23653","MAR08249","B3GNT3"
"23654","MAR08250","B3GNT3"
"23655","MAR08251","B3GNT3"
"23656","MAR00453","AKR1B1"
"31831","MAR00453","AKR1A1"
"41183","MAR00453","ADH6"
"5878","MAR00453","ADH1A"
"6738","MAR00453","ADH7"
"7573","MAR00453","ADH1B"
"8456","MAR00453","ADH5"
"9409","MAR00453","AKR1B10"
"10378","MAR00453","ADH4"
"11221","MAR00453","ADH1C"
"23657","MAR00456","ALDH3A2"
"31832","MAR00456","ALDH2"
"41184","MAR00456","ALDH1B1"
"5879","MAR00456","ALDH9A1"
"6739","MAR00456","ALDH7A1"
"23658","MAR00458","AKR1B1"
"31833","MAR00458","AKR1A1"
"41185","MAR00458","ADH6"
"5880","MAR00458","ADH1A"
"6740","MAR00458","ADH7"
"7574","MAR00458","ADH1B"
"8457","MAR00458","ADH5"
"9410","MAR00458","AKR1B10"
"10379","MAR00458","ADH4"
"11222","MAR00458","ADH1C"
"23659","MAR00459","ALDH3A2"
"31834","MAR00459","ALDH2"
"41186","MAR00459","ALDH1B1"
"5881","MAR00459","ALDH9A1"
"6741","MAR00459","ALDH7A1"
"23660","MAR00463","PLA2G10"
"31835","MAR00463","PLA2G3"
"41187","MAR00463","PLA2G4C"
"5882","MAR00463","PLA2G4A"
"6742","MAR00463","PLA2G2D"
"7575","MAR00463","PLA2G12A"
"8458","MAR00463","PLA2G5"
"9411","MAR00463","PLA2G12B"
"10380","MAR00463","PLA2G2F"
"11223","MAR00463","PLA2G4D"
"12217","MAR00463","PLB1"
"13176","MAR00463","PLA2G4F"
"14176","MAR00463","JMJD7-PLA2G4B"
"15173","MAR00463","PLA2G1B"
"16168","MAR00463","PLAAT3"
"17159","MAR00463","PLA2G6"
"18159","MAR00463","PLA2G2C"
"19157","MAR00463","PLA2G4E"
"20141","MAR00463","PLA2G2A"
"211068","MAR00463","PLA2G2E"
"221038","MAR00463","PLA2G4B"
"23661","MAR00486","GPAM"
"31836","MAR00486","GPAT3"
"41188","MAR00486","GPAT4"
"5883","MAR00486","GPAT2"
"23662","MAR00487","GPAM"
"31837","MAR00487","GPAT3"
"41189","MAR00487","GPAT4"
"5884","MAR00487","GPAT2"
"23663","MAR00488","GPAM"
"31838","MAR00488","GPAT3"
"41190","MAR00488","GPAT4"
"5885","MAR00488","GPAT2"
"23664","MAR00489","GPAM"
"31839","MAR00489","GPAT3"
"41191","MAR00489","GPAT4"
"5886","MAR00489","GPAT2"
"23665","MAR00490","GPAM"
"31840","MAR00490","GPAT3"
"41192","MAR00490","GPAT4"
"5887","MAR00490","GPAT2"
"23666","MAR00491","GPAM"
"31841","MAR00491","GPAT3"
"41193","MAR00491","GPAT4"
"5888","MAR00491","GPAT2"
"23667","MAR00492","GPAM"
"31842","MAR00492","GPAT3"
"41194","MAR00492","GPAT4"
"5889","MAR00492","GPAT2"
"23668","MAR00493","GPAM"
"31843","MAR00493","GPAT3"
"41195","MAR00493","GPAT4"
"5890","MAR00493","GPAT2"
"23669","MAR00494","GPAM"
"31844","MAR00494","GPAT3"
"41196","MAR00494","GPAT4"
"5891","MAR00494","GPAT2"
"23670","MAR00495","GPAM"
"31845","MAR00495","GPAT3"
"41197","MAR00495","GPAT4"
"5892","MAR00495","GPAT2"
"23671","MAR00496","GPAM"
"31846","MAR00496","GPAT3"
"41198","MAR00496","GPAT4"
"5893","MAR00496","GPAT2"
"23672","MAR00497","GPAM"
"31847","MAR00497","GPAT3"
"41199","MAR00497","GPAT4"
"5894","MAR00497","GPAT2"
"23673","MAR00498","GPAM"
"31848","MAR00498","GPAT3"
"41200","MAR00498","GPAT4"
"5895","MAR00498","GPAT2"
"23674","MAR00499","GPAM"
"31849","MAR00499","GPAT3"
"41201","MAR00499","GPAT4"
"5896","MAR00499","GPAT2"
"23675","MAR00500","GPAM"
"31850","MAR00500","GPAT3"
"41202","MAR00500","GPAT4"
"5897","MAR00500","GPAT2"
"23676","MAR00501","GPAM"
"31851","MAR00501","GPAT3"
"41203","MAR00501","GPAT4"
"5898","MAR00501","GPAT2"
"23677","MAR00502","GPAM"
"31852","MAR00502","GPAT3"
"41204","MAR00502","GPAT4"
"5899","MAR00502","GPAT2"
"23678","MAR00503","GPAM"
"31853","MAR00503","GPAT3"
"41205","MAR00503","GPAT4"
"5900","MAR00503","GPAT2"
"23679","MAR00504","GPAM"
"31854","MAR00504","GPAT3"
"41206","MAR00504","GPAT4"
"5901","MAR00504","GPAT2"
"23680","MAR00505","GPAM"
"31855","MAR00505","GPAT3"
"41207","MAR00505","GPAT4"
"5902","MAR00505","GPAT2"
"23681","MAR00506","GPAM"
"31856","MAR00506","GPAT3"
"41208","MAR00506","GPAT4"
"5903","MAR00506","GPAT2"
"23682","MAR00507","GPAM"
"31857","MAR00507","GPAT3"
"41209","MAR00507","GPAT4"
"5904","MAR00507","GPAT2"
"23683","MAR00508","GPAM"
"31858","MAR00508","GPAT3"
"41210","MAR00508","GPAT4"
"5905","MAR00508","GPAT2"
"23684","MAR00509","GPAM"
"31859","MAR00509","GPAT3"
"41211","MAR00509","GPAT4"
"5906","MAR00509","GPAT2"
"23685","MAR00510","GPAM"
"31860","MAR00510","GPAT3"
"41212","MAR00510","GPAT4"
"5907","MAR00510","GPAT2"
"23686","MAR00511","GPAM"
"31861","MAR00511","GPAT3"
"41213","MAR00511","GPAT4"
"5908","MAR00511","GPAT2"
"23687","MAR00512","GPAM"
"31862","MAR00512","GPAT3"
"41214","MAR00512","GPAT4"
"5909","MAR00512","GPAT2"
"23688","MAR00513","GPAM"
"31863","MAR00513","GPAT3"
"41215","MAR00513","GPAT4"
"5914","MAR00513","GPAT2"
"23689","MAR00514","GPAM"
"31864","MAR00514","GPAT3"
"41216","MAR00514","GPAT4"
"5915","MAR00514","GPAT2"
"23690","MAR00515","GPAM"
"31865","MAR00515","GPAT3"
"41217","MAR00515","GPAT4"
"5916","MAR00515","GPAT2"
"23691","MAR00516","GPAM"
"31866","MAR00516","GPAT3"
"41218","MAR00516","GPAT4"
"5917","MAR00516","GPAT2"
"23692","MAR00517","GPAM"
"31867","MAR00517","GPAT3"
"41219","MAR00517","GPAT4"
"5918","MAR00517","GPAT2"
"23693","MAR00518","GPAM"
"31868","MAR00518","GPAT3"
"41220","MAR00518","GPAT4"
"5919","MAR00518","GPAT2"
"23694","MAR00519","GPAM"
"31869","MAR00519","GPAT3"
"41221","MAR00519","GPAT4"
"5920","MAR00519","GPAT2"
"23695","MAR00520","GPAM"
"31870","MAR00520","GPAT3"
"41222","MAR00520","GPAT4"
"5921","MAR00520","GPAT2"
"23696","MAR00521","GPAM"
"31871","MAR00521","GPAT3"
"41223","MAR00521","GPAT4"
"5922","MAR00521","GPAT2"
"23697","MAR00522","GPAM"
"31872","MAR00522","GPAT3"
"41224","MAR00522","GPAT4"
"5923","MAR00522","GPAT2"
"23698","MAR00523","GPAM"
"31873","MAR00523","GPAT3"
"41225","MAR00523","GPAT4"
"5924","MAR00523","GPAT2"
"23699","MAR00524","GPAM"
"31874","MAR00524","GPAT3"
"41226","MAR00524","GPAT4"
"5925","MAR00524","GPAT2"
"23700","MAR00525","GPAM"
"31875","MAR00525","GPAT3"
"41227","MAR00525","GPAT4"
"5926","MAR00525","GPAT2"
"23701","MAR00526","GPAM"
"31876","MAR00526","GPAT3"
"41228","MAR00526","GPAT4"
"5927","MAR00526","GPAT2"
"23702","MAR00527","GPAM"
"31877","MAR00527","GPAT3"
"41229","MAR00527","GPAT4"
"5928","MAR00527","GPAT2"
"23703","MAR00528","GPAM"
"31878","MAR00528","GPAT3"
"41230","MAR00528","GPAT4"
"5929","MAR00528","GPAT2"
"23704","MAR00529","GPAM"
"31879","MAR00529","GPAT3"
"41231","MAR00529","GPAT4"
"5930","MAR00529","GPAT2"
"23705","MAR00530","GPAM"
"31880","MAR00530","GPAT3"
"41232","MAR00530","GPAT4"
"5931","MAR00530","GPAT2"
"23706","MAR00531","GPAM"
"31881","MAR00531","GPAT3"
"41233","MAR00531","GPAT4"
"5932","MAR00531","GPAT2"
"23707","MAR00532","GPAM"
"31882","MAR00532","GPAT3"
"41234","MAR00532","GPAT4"
"5933","MAR00532","GPAT2"
"23708","MAR00533","GPAM"
"31883","MAR00533","GPAT3"
"41235","MAR00533","GPAT4"
"5934","MAR00533","GPAT2"
"23709","MAR00534","GPAM"
"31884","MAR00534","GPAT3"
"41236","MAR00534","GPAT4"
"5935","MAR00534","GPAT2"
"23710","MAR00535","GPAM"
"31885","MAR00535","GPAT3"
"41237","MAR00535","GPAT4"
"5936","MAR00535","GPAT2"
"23711","MAR00536","GPAM"
"31886","MAR00536","GPAT3"
"41238","MAR00536","GPAT4"
"5937","MAR00536","GPAT2"
"23712","MAR00537","GPAM"
"31887","MAR00537","GPAT3"
"41239","MAR00537","GPAT4"
"5938","MAR00537","GPAT2"
"23713","MAR00538","GPAM"
"31888","MAR00538","GPAT3"
"41240","MAR00538","GPAT4"
"5939","MAR00538","GPAT2"
"23714","MAR00539","GPAM"
"31889","MAR00539","GPAT3"
"41241","MAR00539","GPAT4"
"5940","MAR00539","GPAT2"
"23715","MAR00540","GPAM"
"31890","MAR00540","GPAT3"
"41242","MAR00540","GPAT4"
"5941","MAR00540","GPAT2"
"23716","MAR00541","GPAM"
"31891","MAR00541","GPAT3"
"41243","MAR00541","GPAT4"
"5942","MAR00541","GPAT2"
"23717","MAR00542","GPAM"
"31892","MAR00542","GPAT3"
"41244","MAR00542","GPAT4"
"5943","MAR00542","GPAT2"
"23718","MAR00543","GPAM"
"31893","MAR00543","GPAT3"
"41245","MAR00543","GPAT4"
"5944","MAR00543","GPAT2"
"23719","MAR00544","GPAM"
"31894","MAR00544","GPAT3"
"41246","MAR00544","GPAT4"
"5945","MAR00544","GPAT2"
"23720","MAR00588","ABHD5"
"31895","MAR00588","AGPAT4"
"41247","MAR00588","MBOAT2"
"5946","MAR00588","AGPAT5"
"6743","MAR00588","AGPAT3"
"7576","MAR00588","AGPAT2"
"8459","MAR00588","MBOAT1"
"9412","MAR00588","LCLAT1"
"10381","MAR00588","AGPAT1"
"23721","MAR00596","PLPP1"
"31896","MAR00596","LPIN2"
"41248","MAR00596","PLPPR2"
"5947","MAR00596","PLPPR4"
"6744","MAR00596","PLPPR3"
"7577","MAR00596","LPIN3"
"8460","MAR00596","LPIN1"
"9413","MAR00596","PLPP2"
"10382","MAR00596","PLPP5"
"11224","MAR00596","PLPP3"
"12218","MAR00596","PLPP4"
"23722","MAR00673","AGK"
"23723","MAR00674","AGK"
"23724","MAR00675","AGK"
"23725","MAR00676","AGK"
"23726","MAR00677","AGK"
"23727","MAR00678","AGK"
"23728","MAR04296","ETNPPL"
"23729","MAR04390","ALPL"
"31897","MAR04390","ALPP"
"41249","MAR04390","ALPG"
"5948","MAR04390","ALPI"
"23730","MAR05254","PLA2G10"
"31898","MAR05254","PLA2G3"
"41250","MAR05254","PLA2G4C"
"5949","MAR05254","PLA2G4A"
"6745","MAR05254","PLA2G2D"
"7578","MAR05254","PLA2G12A"
"8461","MAR05254","PLA2G5"
"9414","MAR05254","PLA2G12B"
"10383","MAR05254","PLA2G2F"
"11225","MAR05254","PLA2G4D"
"12219","MAR05254","PLB1"
"13177","MAR05254","PLA2G4F"
"14177","MAR05254","JMJD7-PLA2G4B"
"15174","MAR05254","PLA2G1B"
"16169","MAR05254","PLAAT3"
"17160","MAR05254","PLA2G6"
"18160","MAR05254","PLA2G2C"
"19158","MAR05254","PLA2G4E"
"20142","MAR05254","PLA2G2A"
"211069","MAR05254","PLA2G2E"
"221039","MAR05254","PLA2G4B"
"23731","MAR07599","CEPT1"
"31899","MAR07599","SELENOI"
"23732","MAR00448","GK5"
"31900","MAR00448","GK2"
"41251","MAR00448","GK"
"5950","MAR00448","GK3P"
"23733","MAR00450","GK5"
"31901","MAR00450","GK2"
"41252","MAR00450","GK"
"5951","MAR00450","GK3P"
"23734","MAR00468","CHPT1"
"31902","MAR00468","CEPT1"
"23735","MAR00478","GPD1"
"23736","MAR00479","GPD1L"
"31903","MAR00479","GPD1"
"23737","MAR00481","GPD1L"
"31904","MAR00481","GPD1"
"23738","MAR00483","GPD2"
"23739","MAR00482","GPD2"
"23740","MAR00484","ADPRM"
"23741","MAR00579","GPAM"
"31905","MAR00579","GPAT3"
"41253","MAR00579","GPAT4"
"5952","MAR00579","GPAT2"
"23742","MAR00580","ABHD5"
"31906","MAR00580","AGPAT4"
"41254","MAR00580","MBOAT2"
"5953","MAR00580","AGPAT5"
"6746","MAR00580","AGPAT3"
"7579","MAR00580","AGPAT2"
"8462","MAR00580","MBOAT1"
"9415","MAR00580","LCLAT1"
"10384","MAR00580","AGPAT1"
"23743","MAR00581","CDS2"
"31907","MAR00581","CDS1"
"23744","MAR00582","PGS1"
"23746","MAR00586","CRLS1"
"23747","MAR00589","ABHD5"
"31908","MAR00589","AGPAT4"
"41255","MAR00589","MBOAT2"
"5954","MAR00589","AGPAT5"
"6747","MAR00589","AGPAT3"
"7580","MAR00589","AGPAT2"
"8463","MAR00589","MBOAT1"
"9416","MAR00589","LCLAT1"
"10385","MAR00589","AGPAT1"
"23748","MAR00590","ABHD5"
"31909","MAR00590","AGPAT4"
"41256","MAR00590","MBOAT2"
"5955","MAR00590","AGPAT5"
"6748","MAR00590","AGPAT3"
"7581","MAR00590","AGPAT2"
"8464","MAR00590","MBOAT1"
"9417","MAR00590","LCLAT1"
"10386","MAR00590","AGPAT1"
"23749","MAR00591","ABHD5"
"31910","MAR00591","AGPAT4"
"41257","MAR00591","MBOAT2"
"5956","MAR00591","AGPAT5"
"6749","MAR00591","AGPAT3"
"7582","MAR00591","AGPAT2"
"8465","MAR00591","MBOAT1"
"9418","MAR00591","LCLAT1"
"10387","MAR00591","AGPAT1"
"23750","MAR00592","ABHD5"
"31911","MAR00592","AGPAT4"
"41258","MAR00592","MBOAT2"
"5957","MAR00592","AGPAT5"
"6750","MAR00592","AGPAT3"
"7583","MAR00592","AGPAT2"
"8466","MAR00592","MBOAT1"
"9419","MAR00592","LCLAT1"
"10388","MAR00592","AGPAT1"
"23751","MAR00593","ABHD5"
"31912","MAR00593","AGPAT4"
"41259","MAR00593","MBOAT2"
"5958","MAR00593","AGPAT5"
"6751","MAR00593","AGPAT3"
"7584","MAR00593","AGPAT2"
"8467","MAR00593","MBOAT1"
"9420","MAR00593","LCLAT1"
"10389","MAR00593","AGPAT1"
"23752","MAR00594","ABHD5"
"31913","MAR00594","AGPAT4"
"41260","MAR00594","MBOAT2"
"5959","MAR00594","AGPAT5"
"6752","MAR00594","AGPAT3"
"7585","MAR00594","AGPAT2"
"8468","MAR00594","MBOAT1"
"9421","MAR00594","LCLAT1"
"10390","MAR00594","AGPAT1"
"23753","MAR00597","PLPP1"
"31914","MAR00597","LPIN2"
"41261","MAR00597","PLPPR2"
"5960","MAR00597","PLPPR4"
"6753","MAR00597","PLPPR3"
"7586","MAR00597","LPIN3"
"8469","MAR00597","LPIN1"
"9422","MAR00597","PLPP2"
"10391","MAR00597","PLPP5"
"11226","MAR00597","PLPP3"
"12220","MAR00597","PLPP4"
"23754","MAR00598","PLPP1"
"31915","MAR00598","LPIN2"
"41262","MAR00598","PLPPR2"
"5961","MAR00598","PLPPR4"
"6754","MAR00598","PLPPR3"
"7587","MAR00598","LPIN3"
"8470","MAR00598","LPIN1"
"9423","MAR00598","PLPP2"
"10392","MAR00598","PLPP5"
"11227","MAR00598","PLPP3"
"12221","MAR00598","PLPP4"
"23755","MAR00599","PLPP1"
"31916","MAR00599","LPIN2"
"41263","MAR00599","PLPPR2"
"5962","MAR00599","PLPPR4"
"6755","MAR00599","PLPPR3"
"7588","MAR00599","LPIN3"
"8471","MAR00599","LPIN1"
"9424","MAR00599","PLPP2"
"10393","MAR00599","PLPP5"
"11228","MAR00599","PLPP3"
"12222","MAR00599","PLPP4"
"23756","MAR00600","PLPP1"
"31917","MAR00600","LPIN2"
"41264","MAR00600","PLPPR2"
"5963","MAR00600","PLPPR4"
"6756","MAR00600","PLPPR3"
"7589","MAR00600","LPIN3"
"8472","MAR00600","LPIN1"
"9425","MAR00600","PLPP2"
"10394","MAR00600","PLPP5"
"11229","MAR00600","PLPP3"
"12223","MAR00600","PLPP4"
"23757","MAR00601","PLPP1"
"31918","MAR00601","LPIN2"
"41265","MAR00601","PLPPR2"
"5964","MAR00601","PLPPR4"
"6757","MAR00601","PLPPR3"
"7590","MAR00601","LPIN3"
"8473","MAR00601","LPIN1"
"9426","MAR00601","PLPP2"
"10395","MAR00601","PLPP5"
"11230","MAR00601","PLPP3"
"12224","MAR00601","PLPP4"
"23758","MAR00602","PLPP1"
"31919","MAR00602","LPIN2"
"41266","MAR00602","PLPPR2"
"5965","MAR00602","PLPPR4"
"6758","MAR00602","PLPPR3"
"7591","MAR00602","LPIN3"
"8474","MAR00602","LPIN1"
"9427","MAR00602","PLPP2"
"10396","MAR00602","PLPP5"
"11231","MAR00602","PLPP3"
"12225","MAR00602","PLPP4"
"23759","MAR00607","CDS2"
"31920","MAR00607","CDS1"
"23760","MAR00610","CDIPT"
"23761","MAR00613","CDIPT"
"23762","MAR00614","CEPT1"
"31921","MAR00614","SELENOI"
"23763","MAR00615","CEPT1"
"31922","MAR00615","SELENOI"
"23764","MAR00616","PISD"
"23765","MAR00622","PTDSS2"
"23766","MAR00623","PTDSS1"
"23767","MAR00625","CHPT1"
"31923","MAR00625","CEPT1"
"23768","MAR00627","PISD"
"23769","MAR00629","PLD1"
"31924","MAR00629","PLD3"
"41267","MAR00629","PLD2"
"5966","MAR00629","PLD4"
"6759","MAR00629","PLD6"
"23770","MAR00630","PLA2G10"
"31925","MAR00630","PLA2G3"
"41268","MAR00630","PLA2G4C"
"5967","MAR00630","PLA2G4A"
"6760","MAR00630","PLA2G2D"
"7592","MAR00630","PLA2G12A"
"8475","MAR00630","PLA2G5"
"9428","MAR00630","PLA2G12B"
"10397","MAR00630","PLA2G2F"
"11232","MAR00630","PLA2G4D"
"12226","MAR00630","PLB1"
"13178","MAR00630","PLA2G4F"
"14178","MAR00630","JMJD7-PLA2G4B"
"15175","MAR00630","PLA2G1B"
"16170","MAR00630","PLAAT3"
"17161","MAR00630","PLA2G6"
"18161","MAR00630","PLA2G2C"
"19159","MAR00630","PLA2G4E"
"20143","MAR00630","PLA2G2A"
"211070","MAR00630","PLA2G2E"
"221040","MAR00630","PLA2G4B"
"23771","MAR00632","LPCAT2"
"31926","MAR00632","LPCAT3"
"41269","MAR00632","LPCAT1"
"5968","MAR00632","LPCAT4"
"23772","MAR00633","LYPLA2"
"31927","MAR00633","PNPLA6"
"41270","MAR00633","PLA2G15"
"5969","MAR00633","LGALS13"
"6761","MAR00633","CLC"
"7593","MAR00633","PLA2G4A"
"8476","MAR00633","LYPLA1"
"9429","MAR00633","PNPLA7"
"10398","MAR00633","PNPLA8"
"11233","MAR00633","PLB1"
"12227","MAR00633","ASPG"
"13179","MAR00633","CLCF1"
"23773","MAR00634","LCAT"
"23774","MAR00635","GPCPD1"
"23775","MAR00636","CHKB"
"31928","MAR00636","CHKA"
"23776","MAR00638","PCYT1B"
"31929","MAR00638","PCYT1A"
"23777","MAR00640","CHAT"
"23778","MAR00641","ACHE"
"31930","MAR00641","BCHE"
"23779","MAR00642","PLD1"
"31931","MAR00642","PLD3"
"41271","MAR00642","PLD2"
"5970","MAR00642","PLD4"
"23780","MAR00643","PLA2G10"
"31932","MAR00643","PLA2G3"
"41272","MAR00643","PLA2G4C"
"5971","MAR00643","PLA2G4A"
"6762","MAR00643","PLA2G2D"
"7594","MAR00643","PLA2G12A"
"8477","MAR00643","PLA2G5"
"9430","MAR00643","PLA2G12B"
"10399","MAR00643","PLA2G2F"
"11234","MAR00643","PLA2G4D"
"12228","MAR00643","PLB1"
"13180","MAR00643","PLA2G4F"
"14179","MAR00643","JMJD7-PLA2G4B"
"15176","MAR00643","PLA2G1B"
"16171","MAR00643","PLAAT3"
"17162","MAR00643","PLA2G6"
"18162","MAR00643","PLA2G2C"
"19160","MAR00643","PLA2G4E"
"20144","MAR00643","PLA2G2A"
"211071","MAR00643","PLA2G2E"
"221041","MAR00643","PLA2G4B"
"23781","MAR00644","LPCAT2"
"31933","MAR00644","LPCAT3"
"41273","MAR00644","LPCAT1"
"5972","MAR00644","LPCAT4"
"23782","MAR00645","LYPLA2"
"31934","MAR00645","PNPLA6"
"41274","MAR00645","PLA2G15"
"5973","MAR00645","LGALS13"
"6763","MAR00645","CLC"
"7595","MAR00645","PLA2G4A"
"8478","MAR00645","LYPLA1"
"9431","MAR00645","PNPLA7"
"10400","MAR00645","PNPLA8"
"11235","MAR00645","PLB1"
"12229","MAR00645","ASPG"
"13181","MAR00645","CLCF1"
"23783","MAR00646","GPCPD1"
"23785","MAR00648","CHKB"
"31935","MAR00648","CHKA"
"41275","MAR00648","ETNK1"
"5974","MAR00648","ETNK2"
"23786","MAR00649","PHOSPHO1"
"23787","MAR00651","PCYT2"
"23788","MAR00653","PEMT"
"23789","MAR00654","PEMT"
"23790","MAR00657","PEMT"
"23791","MAR00660","PLD1"
"31936","MAR00660","PLD3"
"41276","MAR00660","PLD2"
"5975","MAR00660","PLD4"
"23792","MAR04627","CYP27A1"
"23793","MAR04838","CYP27A1"
"23794","MAR04839","CYP27A1"
"23795","MAR07591","AKR1A1"
"23796","MAR07594","AGPS"
"23799","MAR07611","PAFAH1B1"
"31937","MAR07611","PAFAH1B3"
"41277","MAR07611","PAFAH2"
"5976","MAR07611","ASPG"
"6764","MAR07611","PAFAH1B2"
"23800","MAR07612","PLA2G7"
"23801","MAR07613","LPCAT2"
"31938","MAR07613","LPCAT1"
"23802","MAR07755","TKFC"
"23803","MAR08362","CHAT"
"23804","MAR08421","ACHE"
"31939","MAR08421","BCHE"
"23805","MAR08424","PHOSPHO1"
"23806","MAR08518","PAFAH1B1"
"31940","MAR08518","PAFAH1B3"
"41278","MAR08518","PAFAH2"
"5977","MAR08518","ASPG"
"6765","MAR08518","PAFAH1B2"
"23807","MAR08519","PLA2G7"
"23808","MAR08521","LPCAT2"
"31941","MAR08521","LPCAT1"
"41279","MAR08521","LPCAT4"
"23810","MAR08523","PLD1"
"31942","MAR08523","PLD3"
"41280","MAR08523","PLD2"
"5978","MAR08523","PLD4"
"23811","MAR08525","PLD1"
"31943","MAR08525","PLD3"
"41281","MAR08525","PLD2"
"5979","MAR08525","PLD4"
"23812","MAR09805","ENPP6"
"23813","MAR00815","B4GALNT1"
"23814","MAR00816","B3GALT4"
"23815","MAR00817","ST3GAL1"
"31944","MAR00817","ST3GAL4"
"41282","MAR00817","ST3GAL2"
