TF	size	nes	pval	pval.fdr
396	JAZF1	45	-0.954600911005509	0.339779556302549	0.977581089556162
397	PRDM1	18	0.952081005398997	0.341055901366984	0.977581089556162
398	ZNF138	16	0.950767494993892	0.341722416683162	0.977581089556162
399	HOXB5	13	-0.948913732982741	0.342664489347696	0.977581089556162
400	ZNF641	13	0.948460360930868	0.342895143216864	0.977581089556162
401	ZNF260	19	0.948330516037301	0.342961220321031	0.977581089556162
402	ZBTB48	13	0.946433730989746	0.343927407748565	0.977581089556162
403	ZNF354A	9	0.944763680046553	0.344779538167488	0.977581089556162
404	ZNF658	14	0.941811661337846	0.346289073741825	0.977581089556162
405	LTF	47	-0.94009086694762	0.347170953140478	0.977581089556162
