V1,V2
ATP2B2,PRKACB
ATP2B3,PRKACB
ATP2B4,PRKACB
ATP6AP2,ATP6V0C
ATP6AP2,FZD8
ATP6AP2,LRP6
ATP6AP2,PRKAR1A
ATP6AP2,REN
ATP6AP2,WNT3A
ATP6V0A1,STX3
ATP6V1C1,RPTOR
ATP6V1D,RPTOR
ATP6V1E1,RPTOR
ATP6V1G1,RPTOR
ATP6V1H,RPTOR
ATR,ORC3
ATR,ORC5
ATRIP,ORC3
ATRIP,ORC5
ATRX,MED23
ATXN7,SUPT7L
ATXN7L3,SUPT7L
AURKA,ODF2
AURKA,TGFB1
AURKAIP1,MRPL2
AURKAIP1,MRPL34
AURKAIP1,MRPS14
AURKAIP1,MTIF3
AURKB,MAD1L1
AURKB,NUP205
AXIN1,CSNK1G2
AXIN1,PPP2CA
AXIN1,PPP2R5E
AXIN2,CSNK1G2
AXIN2,PPP2CA
AXIN2,PPP2R5E
AXIN2,TGFB1
AXL,JAK1
B3GALT6,BCAN
B3GALT6,BGN
B3GALT6,CSPG4
B3GALT6,CSPG5
B3GALT6,DCN
B3GALT6,GPC1
B3GALT6,GPC2
B3GALT6,GPC3
B3GALT6,GPC4
B3GALT6,GPC5
B3GALT6,GPC6
B3GALT6,HSPG2
B3GALT6,NCAN
B3GALT6,SDC1
B3GALT6,SDC2
B3GALT6,SDC3
B3GALT6,SDC4
B3GALT6,VCAN
B3GAT3,BCAN
B3GAT3,BGN
B3GAT3,CREB1
B3GAT3,CSGALNACT2
B3GAT3,CSPG4
B3GAT3,CSPG5
B3GAT3,DCN
B3GAT3,ETS1
B3GAT3,GPC1
B3GAT3,GPC2
B3GAT3,GPC3
B3GAT3,GPC4
B3GAT3,GPC5
B3GAT3,GPC6
B3GAT3,HSPG2
B3GAT3,NCAN
B3GAT3,PXYLP1
B3GAT3,SDC1
B3GAT3,SDC2
B3GAT3,SDC3
B3GAT3,SDC4
B3GAT3,STAT1
B3GAT3,STAT3
B3GAT3,VCAN
B9D1,ODF2
B9D2,MAD1L1
B9D2,ODF2
BAD,PRKACB
BAK1,PPP2CA
BAMBI,TGFB1
BANF1,NUP205
BANF1,PPP2CA
BAP1,PTEN
BAX,MFN1
BAX,PPP2CA
BAX,PRKACB
BCAR1,ELMO2
BCAR1,FN1
BCAR1,PXN
BCAS2,NCBP2
BCAS2,SLU7
BCAS3,TGFB1
BCKDK,PDK1
BCKDK,PDK2
BCL10,TGFB1
BCL2,PPP2CA
BCL2,PPP2R5E
BCL2A1,POU2F2
BCL2L1,PPP2CA
BCL3,KRT1
BCL3,POU2F2
BCL3,VEZF1
BCLAF1,SP3
BCOR,NACC1
BCR,SRC
BCR/ABL FUSION,PTEN
BDNF,KIT
BDP1,ZNF143
BET1,CD59
BET1,KDELR1
BET1,SERPINA1
BET1L,CD59
BET1L,CUX1
BET1L,KDELR1
BET1L,SPTB
BEX1,PTEN
BGN,TGFB1
BHLHE40,PPP2CA
BIN1,EPN1
BIN1,TF
BIN2,MAP4K1
BIRC5,MAD1L1
BIRC5,NUP205
BLK,PXN
BMI1,PHC3
BMPR1A,TGFB1
BMPR1B,TGFB1
BMPR2,TGFB1
BNIP1,KDELR1
BNIP3L,STEAP3
BOK,PPP2CA
BORA,ODF2
BPGM,EDARADD
BPGM,ENO1
BPGM,ENO2
BPGM,ENO3
BPGM,ENO4
BPGM,GPD1L
BPGM,PBX3
BPGM,PGAM2
BPI,SP3
BRAF,PPP2CA
BRAF,PRKACB
BRAT1,RPTOR
BRCA1,MED17
BRCA1,NUDT2
BRCA1,PPP2CA
BRCA1,XPC
BRD2,TAF5
BRD4,MED17
BRD8,MEAF6
BRD8,VPS72
BRF2,ZNF143
BRPF1,MEAF6
BSG,PPIL2
BTBD10,PPP2CA
BTC,PXN
BTK,JAK1
BTK,SP3
BTRC,CSNK1G2
BTRC,PPP2CA
BTRC,PPP2R5E
BUB1,MAD1L1
BUB1,PPP2CA
BUB1,TGFB1
BUB1B,MAD1L1
BUB3,MAD1L1
BUB3,TAF5
BUD31,NCBP2
BUD31,SLU7
C2CD3,ODF2
C3,TF
C4A,NFIC
