name,attr1,attr2,n
CNTF,lalala,lalala,PPI
CNTFR,lalala,lalala,PPI
CNTN1,lalala,lalala,PPI
CNTRL,lalala,lalala,PPI
COG1,lalala,lalala,PPI
COG2,lalala,lalala,PPI
COG3,lalala,lalala,PPI
COG4,lalala,lalala,PPI
COG5,lalala,lalala,PPI
COG6,lalala,lalala,PPI
COG7,lalala,lalala,PPI
COG8,lalala,lalala,PPI
COL10A1,lalala,lalala,PPI
COL11A1,lalala,lalala,PPI
COL11A2,lalala,lalala,PPI
COL12A1,lalala,lalala,PPI
COL13A1,lalala,lalala,PPI
COL14A1,lalala,lalala,PPI
COL15A1,lalala,lalala,PPI
COL16A1,lalala,lalala,PPI
COL17A1,lalala,lalala,PPI
COL18A1,lalala,lalala,PPI
COL19A1,lalala,lalala,PPI
COL1A1,lalala,lalala,PPI
COL1A2,lalala,lalala,PPI
COL2A1,lalala,lalala,PPI
COL3A1,lalala,lalala,PPI
COL4A1,lalala,lalala,PPI
COL4A2,lalala,lalala,PPI
COL4A3,lalala,lalala,PPI
COL4A4,lalala,lalala,PPI
COL4A5,lalala,lalala,PPI
COL4A6,lalala,lalala,PPI
COL5A1,lalala,lalala,PPI
COL5A2,lalala,lalala,PPI
COL5A3,lalala,lalala,PPI
COL6A1,lalala,lalala,PPI
COL6A2,lalala,lalala,PPI
COL6A3,lalala,lalala,PPI
COL7A1,lalala,lalala,PPI
COL8A1,lalala,lalala,PPI
COL8A2,lalala,lalala,PPI
COL9A1,lalala,lalala,PPI
COL9A2,lalala,lalala,PPI
COL9A3,lalala,lalala,PPI
COPA,lalala,lalala,PPI
COPB1,lalala,lalala,PPI
COPB2,lalala,lalala,PPI
COPE,lalala,lalala,PPI
COPG1,lalala,lalala,PPI
COPG2,lalala,lalala,PPI
COPS2,lalala,lalala,PPI
COPS3,lalala,lalala,PPI
COPS4,lalala,lalala,PPI
COPS5,lalala,lalala,PPI
COPS6,lalala,lalala,PPI
COPS7A,lalala,lalala,PPI
COPS7B,lalala,lalala,PPI
COPS8,lalala,lalala,PPI
COPZ1,lalala,lalala,PPI
COPZ2,lalala,lalala,PPI
CPSF1,lalala,lalala,PPI
CPSF2,lalala,lalala,PPI
CPSF3,lalala,lalala,PPI
CPSF4,lalala,lalala,PPI
CPSF6,lalala,lalala,PPI
CPSF7,lalala,lalala,PPI
CRCP,lalala,lalala,PPI
CREB1,lalala,lalala,PPI
CREB3,lalala,lalala,PPI
CREB3L1,lalala,lalala,PPI
CREB3L2,lalala,lalala,PPI
CREB3L3,lalala,lalala,PPI
CREB3L4,lalala,lalala,PPI
CREB5,lalala,lalala,PPI
CREBBP,lalala,lalala,PPI
CRK,lalala,lalala,PPI
CRKL,lalala,lalala,PPI
CRLF1,lalala,lalala,PPI
CRLF2,lalala,lalala,PPI
CRNKL1,lalala,lalala,PPI
CRX,lalala,lalala,PPI
CRY2,lalala,lalala,PPI
CSE1L,lalala,lalala,PPI
CSF1,lalala,lalala,PPI
CSF2,lalala,lalala,PPI
CSF2RA,lalala,lalala,PPI
CSF2RB,lalala,lalala,PPI
CSF3,lalala,lalala,PPI
CSF3R,lalala,lalala,PPI
CSH1,lalala,lalala,PPI
CSH2,lalala,lalala,PPI
CSK,lalala,lalala,PPI
CSNK1A1,lalala,lalala,PPI
CSNK1A1L,lalala,lalala,PPI
CSNK1D,lalala,lalala,PPI
CSNK1E,lalala,lalala,PPI
CSNK1G1,lalala,lalala,PPI
CSNK1G2,lalala,lalala,PPI
CSNK1G3,lalala,lalala,PPI
CSNK2A1,lalala,lalala,PPI
CSNK2A2,lalala,lalala,PPI
CSNK2A3,lalala,lalala,PPI
CSNK2B,lalala,lalala,PPI
CSTA,lalala,lalala,PPI
CSTF1,lalala,lalala,PPI
CSTF2,lalala,lalala,PPI
CSTF2T,lalala,lalala,PPI
CSTF3,lalala,lalala,PPI
CTBP1,lalala,lalala,PPI
CTCF,lalala,lalala,PPI
CTDP1,lalala,lalala,PPI
CTF1,lalala,lalala,PPI
CTNNA1,lalala,lalala,PPI
CTNNAL1,lalala,lalala,PPI
CTNNB1,lalala,lalala,PPI
CTNNBL1,lalala,lalala,PPI
CTNND1,lalala,lalala,PPI
CTR9,lalala,lalala,PPI
CTSB,lalala,lalala,PPI
CTSD,lalala,lalala,PPI
CTSF,lalala,lalala,PPI
CTSL,lalala,lalala,PPI
CTSS,lalala,lalala,PPI
CTSV,lalala,lalala,PPI
CTTN,lalala,lalala,PPI
CUL1,lalala,lalala,PPI
CUL4A,lalala,lalala,PPI
CUL4B,lalala,lalala,PPI
CUX1,lalala,lalala,PPI
CWC15,lalala,lalala,PPI
CWC22,lalala,lalala,PPI
CWC25,lalala,lalala,PPI
CWC27,lalala,lalala,PPI
CXCL1,lalala,lalala,PPI
CXCL12,lalala,lalala,PPI
CXCL8,lalala,lalala,PPI
CXCR2,lalala,lalala,PPI
CXCR4,lalala,lalala,PPI
CYBA,lalala,lalala,PPI
CYLD,lalala,lalala,PPI
CYP11A1,lalala,lalala,PPI
CYP17A1,lalala,lalala,PPI
CYP19A1,lalala,lalala,PPI
CYP1A1,lalala,lalala,PPI
CYP1A2,lalala,lalala,PPI
CYP24A1,lalala,lalala,PPI
CYP27A1,lalala,lalala,PPI
CYP27B1,lalala,lalala,PPI
CYP3A7,lalala,lalala,PPI
CYTH2,lalala,lalala,PPI
DAB2IP,lalala,lalala,PPI
DAP3,lalala,lalala,PPI
DAPP1,lalala,lalala,PPI
DAXX,lalala,lalala,PPI
DBF4,lalala,lalala,PPI
DBF4B,lalala,lalala,PPI
DBNL,lalala,lalala,PPI
DCN,lalala,lalala,PPI
DCP1A,lalala,lalala,PPI
DCTN1,lalala,lalala,PPI
DCTN2,lalala,lalala,PPI
DCTN3,lalala,lalala,PPI
DCTN4,lalala,lalala,PPI
DCTN5,lalala,lalala,PPI
DCTN6,lalala,lalala,PPI
DDB1,lalala,lalala,PPI
DDB2,lalala,lalala,PPI
DDX1,lalala,lalala,PPI
DDX17,lalala,lalala,PPI
DDX19A,lalala,lalala,PPI
DDX19B,lalala,lalala,PPI
DDX20,lalala,lalala,PPI
DDX23,lalala,lalala,PPI
DDX39A,lalala,lalala,PPI
DDX39B,lalala,lalala,PPI
DDX3X,lalala,lalala,PPI
DDX42,lalala,lalala,PPI
DDX46,lalala,lalala,PPI
DDX5,lalala,lalala,PPI
DDX58,lalala,lalala,PPI
DEK,lalala,lalala,PPI
DHX15,lalala,lalala,PPI
DHX16,lalala,lalala,PPI
DHX38,lalala,lalala,PPI
DHX58,lalala,lalala,PPI
DHX9,lalala,lalala,PPI
DIAPH2,lalala,lalala,PPI
DIP2A,lalala,lalala,PPI
DKC1,lalala,lalala,PPI
DKFZP451O0517,lalala,lalala,PPI
DKFZP666O0110,lalala,lalala,PPI
DKFZP686J08252,lalala,lalala,PPI
DKFZP686L20222,lalala,lalala,PPI
DKFZP686N2325,lalala,lalala,PPI
DKFZP686O0451,lalala,lalala,PPI
DKFZP762H177,lalala,lalala,PPI
DKFZP781H1715,lalala,lalala,PPI
DLAT,lalala,lalala,PPI
DLC1,lalala,lalala,PPI
DLD,lalala,lalala,PPI
DLG1,lalala,lalala,PPI
DMAP1,lalala,lalala,PPI
DMRT2,lalala,lalala,PPI
DNAH3,lalala,lalala,PPI
DNAH5,lalala,lalala,PPI
DNAH7,lalala,lalala,PPI
DNAH8,lalala,lalala,PPI
DNAI2,lalala,lalala,PPI
DNAJA1,lalala,lalala,PPI
DNAJC6,lalala,lalala,PPI
DNAJC8,lalala,lalala,PPI
DNAL4,lalala,lalala,PPI
DNASE2,lalala,lalala,PPI
